,0
0,3061154244
1,3390101767
2,8560201804
3,3141711874
4,3053159808
5,3053321102
6,1332661097
7,3142634675
8,6304600357
9,1354100594
10,3201600583
11,3142214268
12,5057900137
13,3052847563
14,3141127826
15,5521801747
16,7480500505
17,2952701109
18,6662300681
19,3141019881
20,5121219043
21,3142423854
22,2146077835
23,6190269544
24,4682700713
25,5910500404
26,5371600328
27,1734200370
28,4811601437
29,4051063515
30,3148184437
31,2940802180
32,8533900914
33,4953900926
34,3731300214
35,6994800516
36,8671201220
37,2713400306
38,1632200792
39,3142383592
40,3141731088
41,6340601027
42,6311500360
43,3111522136
44,3050578989
45,1013674556
46,2307200398
47,5617100238
48,2771900602
49,7692500999
50,8252300878
51,3141489707
52,3060350807
53,5940201847
54,2189019945
55,1610401850
56,2981101150
57,3061642909
58,3052217728
59,1475800668
60,3051752449
61,3062556521
62,4862201054
63,3142282451
64,8332600128
65,1634100283
66,3202000601
67,6182891572
68,4805900505
69,3142371010
70,4281601552
71,3142838108
72,3940700976
73,3737600034
74,3051635292
75,4031879211
76,3052231467
77,3142627553
78,3141118797
79,3141391754
80,6610401985
81,2800201915
82,3142659545
83,2728500844
84,3142351386
85,7085600514
86,5052252188
87,3062214632
88,6996500323
89,3142038102
90,6941700588
91,8131100756
92,3290401887
93,6072120762
94,3550500977
95,3335800444
96,1981401088
97,7777000175
98,3141525369
99,2265200125
100,8252600374
101,3141797931
102,3051096206
103,4610601808
104,3052986618
105,3141343062
106,1536300371
107,8532401302
108,6591901633
109,1696500249
110,7510401143
111,4852100337
112,5971400379
113,4146800247
114,4291201616
115,4771700585
116,3141719522
117,2322100785
118,6047500251
119,3070385819
120,2551101492
121,5442500463
122,7156900017
123,8532101145
124,5112700939
125,2086600371
126,6960401996
127,6420701480
128,6521001319
129,4180491393
130,3050279046
131,2350701133
132,4121061970
133,3060254034
134,4860102228
135,5490700936
136,3142501430
137,3148657541
138,3140785528
139,2243800481
140,5361500731
141,5491301353
142,4178516333
143,3050237352
144,4640900323
145,2800601679
146,8190700285
147,8293300035
148,5062440942
149,3141518984
150,3140977056
151,3472300266
152,1730400039
153,8083501079
154,8964100291
155,3180132716
156,8331601318
157,3071170397
158,4012700985
159,3141423990
160,8622601090]
161,6740901273
162,3141770946
163,3140452860
164,5810700250
165,6634800370
166,5480901256
167,2273800743
168,3061450588
169,7213300916
170,3701501125
171,2910101219
172,1841401468
173,5880401981
174,6095900450
175,3560301825
176,6110763992
177,3142710933
178,3433200999
179,3053055595
180,8243700630
181,5414800522
182,8424900645
183,8640601365
184,3141482306
185,3141834554
186,6743900266
187,7869101474
188,6381801361
189,5218501589
190,6908501279
191,7948501703
192,3050888998
193,3180121806
194,2613700784
195,3053172325
196,4183700702
197,6116300163
198,3142196899
199,6574300496
200,3873301165
201,3142577814
202,3141952127
203,4160424904
204,3142772166
205,7200500282
206,3142357319
207,7860401606
208,3141084698
209,3053374249
210,1340793816
211,3141037273
212,6272201470
213,3148662587
214,2293300915
215,4791900019
216,8214800321
217,8622601090
218,2760802085
219,6301001871
220,1752601318
221,7901601286
222,6204300849
223,6421501530
224,3313601009
225,7895100648
226,3640701713
227,2742101454
228,3112001678
229,4471701531
230,3051443707
231,1012771713
232,3051754845
233,3425200688
234,3351401504
235,8730401026
236,7212101421
237,4120635586
238,5420301300
239,2614400797
240,5694600832
241,4392400015
242,2450902128
243,1018548658
244,3142585411
245,6474900773
246,6541700824
247,3032373755
248,3052777702
249,3148625976
250,4024103579
251,3062545567
252,8062600295
253,5980400295
254,3420200418
255,8863900802
256,3058179508
257,3140279128
258,3189002652
259,5640502133
260,2870302305
261,1603900734
262,4253000638
263,4907200189
264,3140435954
265,3051657374
266,4734500534
267,6031476311
268,3620200445
269,3141716772
270,3140770442
271,3050359519
272,3045300102
273,6092485739
274,2124900257
275,5013994092
276,3052687649
277,6053842171
278,3142444280
279,3141986952
280,6649600976
281,1052462103
282,3062806793
283,3052319456
284,3059037140
285,3142542348
286,3053135072
287,3140902142
288,3149004191
289,3142128940
290,3141193103
291,3142140527
292,3062723403
293,3142319033
294,3140185943
295,7712700832
296,3140151860
297,3141133804
298,3141880965
299,3050894957
300,3062415902
301,3053349018
302,3053139840
303,3140313064
304,3051721591
305,3641400842
306,3140478569
307,3060179173
308,3055900067
309,3141404300
310,3141874973
311,1160670351
312,3140630517
313,3141304389
314,3142347408
315,3063542292
316,3142251375
317,3062019424
318,3051018971
319,3050396421
320,3140164666
321,3052842307
322,3050546226
323,3052822688
324,3142689296
325,3140776771
326,3053031287
327,3141895677
328,3052970149
329,3140409290
330,3052137576
331,3142399319
332,3051917581
333,7952300029
334,4300101717
335,3052015425
336,3142841374
337,3053354618
338,4642100534
339,3141302474
340,3060698404
341,3052082074
342,3060194776
343,3061068611
344,3140742887
345,3053030823
346,3052390314
347,2921901065
348,1549900145
349,3140511890
350,1371780911
351,3142107038
352,3052020307
353,3051428012
354,3052009165
355,3060193573
356,3140880501
357,3051998212
358,3140313929
359,3052817870
360,1149553568
361,5310701439
362,3140128850
363,3052254062
